textid,textname,full_text
20140301prostitute,Новозеландская проститутка выиграла дело о сексуальных домогательствах,"Новозеландский суд по правам человека (Human Rights Review Tribunal) удовлетворил иск работницы борделя, обвинявшей своего начальника в сексуальных домогательствах. Об этом 1 марта сообщает Agence France-Presse.Суд постановил взыскать в пользу 22-летней проститутки, чье имя не сообщается, 25 тысяч новозеландских долларов (около 21 тысячи долларов США). В постановлении суда отмечается, что «работникам секс-индустрии полагается защита от домогательств в той же степени, как людям, работающим в других сферах». Также судьи отметили, что «тот факт, что человек работает в секс-индустрии, не является лицензией для сексуальных домогательств».Как сообщает агентство, девушка обратилась в суд после трех месяцев домогательств со стороны владельца борделя, где она работала. Мужчина, чье имя также не сообщается, утверждал, что может делать со своими сотрудницами все, что захочет. Унижения и запугивания привели к тому, что девушка впала в депрессию и пристрастилась к алкоголю.По словам координатора Новозеландской организации проституток (New Zealand Prostitutes' Collective) Кэтрин Хили (Catherine Healy), вердикт продемонстрировал лидерство Новой Зеландии в вопросе защиты прав работников секс-индустрии. Она отметила, что подобное решение невозможно в ситуации, когда проституция находится вне закона.Парламент Новой Зеландии легализовал проституцию в 2003 году. Решение было принято с перевесом в один голос. В частности, закон разрешает устройство публичных домов, которые должны лицензироваться министерством здравоохранения и другими органами власти."
20130408odessa,Избитый лидер украинских анархистов предложил обидчику сделку,"Глава Союза анархистов Украины, одесский бизнесмен Вадим Черный, который несколько дней назад подвергся нападению, решил посредством СМИ обратиться к избившему его преступнику. Текст обращения распространила «Думская.NET».В нем бизнесмен пишет, что является якобы единственным, кому нападавший нужен живым. По мнению Черного, его обидчика в ближайшем будущем «устранит» заказчик преступления.«Сложно ему [заказчику] тебя убрать? Совершенно несложно. Он нашел тебя, и точно так же найдет подобного тебе, который проломит тебе затылок железной трубой. Сдаться милиции? Неплохая попытка, можно попробовать. Но твоя проблема в новом кодексе: твои показания против заказчика имеют ценность, только когда ты их даешь на суде. Зная своего заказчика, ты уверен, что доживешь до суда?», — пишет анархист.В заключении Черный напоминает о награде в 250 тысяч гривен (30,7 тысяч долларов), объявленной им за поимку преступника. «Твои фотографии висят в интернете, транслируются по центральным каналам телевидения. Кто-то тебя узнает», — обращается он к злоумышленнику. «Я видел твое лицо — ты не умеешь молчать. И тогда за тобой придут», — резюмирует он.В связи с этим бизнесмен предлагает своему обидчику сделку. Нападавший, согласно условиям этой сделки, должен самостоятельно позвонить Черному по телефону 066-1948147 и подробно рассказать ему о заказчике нападения. « Твоя задача — убедить меня, что ты сказал правду. После этого ты можешь бежать. Я тебя искать не буду», — пишет бизнесмен, уверяя, что это лишь «небольшой шанс» для преступника остаться в живых.Нападение на лидера украинских анархистов, напомним, было совершено в Одессе 4 апреля. Преступник напал на него на Успенской улице и нанес несколько ударов по голове обрезком металлической трубы, завернутым в газету. По словам самого бизнесмена, нападавший при этом не произнес ни слова и не пытался ограбить свою жертву.Медики диагностировали у Черного пять переломов костей черепа, закрытую черепно-мозговую травму, сотрясение головного мозга, ушибленные раны лобной части головы и ссадины лица. По данному факту было начато уголовное производство по статье «Умышленные телесные повреждения средней тяжести».Черный возглавляет Союз Анархистов Украины с 2002 года. Он также работает советником мэра Одессы по борьбе с коррупцией. По данным «Комсомольской Правды в Украине», в конце 90-х Черный на протяжении четырех лет занимал должность мэра Арциза (города в Одесской области). На момент избрания на этот пост политику было 26 лет. Он полностью ликвидировал местный горисполком, а аппарат горсовета во время его пребывания в должности состоял лишь из четырех человек.Черный дважды баллотировался в мэры Одессы (в 1998 и 2010 годах), однако безуспешно. В настоящее время занимается бизнесом, владеет одесскими отелями «Зирка» и «Токио-стар», а также зданием бывшего ресторана «Киев» на Греческой площади."
20130502market,На Дорогомиловском рынке в Москве открыли стрельбу,"На Дорогомиловском рынке недалеко от Киевского вокзала в Москве вечером в четверг неизвестные открыли стрельбу из травматического оружия. Об этом агентству «Интерфакс» сообщили в пресс-службе ГУ МВД по Москве.Конфликт на территории рынка, который расположен на Можайском валу, возник около 19:00. В результате инцидента пострадали два человека, они госпитализированы, рассказали в полиции.Стрелявшие скрылись на автомобиле, его пытаются найти. Полиция устанавливает причины конфликта «между двумя группами граждан», подчеркнули в пресс-службе.Напомним, получивший большой резонанс конфликт с применением холодного и травматического оружия произошел в том же районе в июне 2012 года. Тогда у ТЦ «Европейский» у Киевского вокзала Бекхан Ризванов четыре раза ударил футбольного болельщика Алексея Усачева в грудь и спину ножом. Один из приятелей Усачева выстрелил в Ризванова из травматического оружия. Применение оружия было признано законным, а Ризванова приговорили к восьми годам колонии строгого режима за покушение на жизнь потерпевшего."
20130502admit,Ведущий «Би-Би-Си» признался в развращении детей,"Спортивный комментатор «Би-Би-Си» Стюарт Холл в Королевском суде Престона признал себя виновным в развратных действиях. Об этом 2 мая сообщает BBC News.83-летнего Холла обвиняют в 14 нападениях на 13 девочек в возрасте от девяти до 16 лет (многие из них были дочерьми его друзей). Некоторых девочек журналист хватал за грудь, других целовал в губы. Преступления были совершены в 1967-1986 годах.Также Холла обвиняли в изнасиловании 22-летней женщины, совершенном в 1976 году. Но впоследствии потерпевшая отказалась от показаний.Как ожидается, приговор Холлу будет вынесен 17 июня. Адвокат попросил учесть тот факт, что подсудимый раскаялся и извинился перед жертвами.По информации Sky News, ранее Холл категорически отрицал вину, называл обвинения «жестокими» и утверждал, что только благодаря своей любящей семье смог пережить эту историю.После того, как в январе 2013 года Холлу были предъявлены обвинения, корпорация «Би-Би-Си» выразила соболезнования потерпевшим и объявила о расторжении всех контрактов с журналистом.Холл работал спортивным комментатором на радиостанции «Би-Би-Си» с 1959 года. В 1970-х годах он вел собственное развлекательное шоу It's A Knockout. В 2012 году журналисту вручили орден Британской империи за работу на радио и телевидении, а также за вклад в благотворительность.Холл стал вторым журналистом «Би-Би-Си», который оказался вовлечен в секс-скандал за последнее время. В сентябре 2012 года в прессе появились доказательства того, что умерший в 2011 году телеведущий Джимми Сэвил с 1955 по 2009 год совершил 214 сексуальных преступлений, в том числе 34 изнасилования. Многие потерпевшие были несовершеннолетними."
20130702krasnovidovo,Полиция и врачи оставили пенсионеров наедине с их сыном-убийцей,"Медики и полиция три дня не реагировали на жалобы подмосковных пенсионеров, которые в итоге были убиты своим сыном. Об этом 2 июля пишет газета «Московский комсомолец».Как стало известно журналистам, 29 июня 32-летний житель деревни Красновидово Можайского района Виталий Шайбахович избил своего 72-летнего отца и пообещал отрубить ему голову. Пенсионер написал заявление в полицию, однако Шайбаховича не изолировали. 1 июля (за восемь часов до убийства) пенсионер позвонил по телефону «03» и попросил забрать сына, который выглядел психически неуравновешенным. Однако ему было отказано.По информации издания Life News, в разговоре с пенсионерами медики объяснили отказ от госпитализации тем, что полиция в данный момент не может предоставить сотрудников для конвоирования буйного пациента. Однако в полиции утверждают, что были готовы в любой момент предоставить сотрудников. По словам полицейских, медики сказали им, что у них сейчас нет свободных машин.Представитель управления СК РФ по Московской области Ирина Гуменная заявила, что ведомство проверит законность действий медиков и полицейских.Отец и мать Шайбаховича были убиты ранним вечером 1 июля. Приятель, с которым Шайбахович пил пиво, привез его домой на мопеде. Мужчина сказал приятелю, что «должен сделать одно дело», взял топор и ударил мать по шее. Свидетель испугался, завел мопед и поехал по деревне, крича о преступлении. Шайбахович тем временем ударил топором по голове отца.После убийства мужчина спрятался в заброшенном доме. Вскоре он был задержан.Шайбахович состоит на учете в психдиспансере. Однажды он поджег родительский дом, после чего лечился в больнице имени Алексеева (бывшая больница имени Кащенко). Выписавшись, Шайбахович некоторое время жил в своей квартире в Можайске. Но в начале лета 2013 года квартиру сдали в аренду, а сын поселился у родителей в Красновидово."
20130806posad,Полиция провела обыск в администрации Сергиево-Посадского района,"Полиция провела обыск в здании администрации Сергиево-Посадского района Московской области. Об этом говорится в пресс-релизе МВД, поступившем в редакцию «Ленты.ру».Обыск проводился в рамках уголовного дела первого заместителя главы Сергиево-Посадского района Сергея Тостановского. По информации радиостанции «Радио-Посад», третий этаж здания был блокирован спецназом.Дело по 286-й статье УК РФ (превышение должностных полномочий) в отношении Тостановского было возбуждено 2 августа. По версии следствия, в апреле 2009 года чиновник, исполняя обязанности главы района, незаконно приказал изменить тип земельного участка площадью 707 тысяч квадратных метров у села Радонеж. Участок превратился из земли сельскохозяйственного значения в землю для дачной застройки. Впоследствии там был возведен коттеджный поселок «Радонежские просторы».Следователи не исключают, что в будущем в деле появятся новые фигуранты из числа чиновников и бизнесменов.Охранная зона рядом с древним городом Радонеж была установлена в 1986 году. В начале 2013 года ФСБ начала проверку обстоятельств дачной застройки охранной зоны. В апреле 2013 года владельцы земельных участков обратились к губернатору Московской области Андрею Воробьеву с открытым письмом. Они попросили уточнить статус земель."
20140609police,Бывших сотрудников ОП «Дальний» попросили приговорить к длительным срокам,"Прокурор попросил приговорить бывших сотрудников казанского отдела полиции (ОП) «Дальний» к длительным срокам лишения свободы, сообщает пресс-служба Казанского правозащитного центра. Слушания проходят в Приволжском районном суде Казани.Обвинение попросило приговорить бывшего замначальника угрозыска «Дальнего» Алмаза Василова к 15 годам лишения свободы в колонии строгого режима, бывшего заместителя начальника отдела полиции Фаиля Сабирзянова — к 12,5 годам строгого режима, бывших оперативников Рамиля Ахметзянова и Ильнара Ибатуллина — к 12 годам строгого режима, бывшего начальника угрозыска отдала Айнура Рахматуллина — к 9 годам общего режима, бывших оперуполномоченных Амира Шарафуллина и Дениса Васильева — к 7 и 5 годам в колонии общего режима соответственно, а бывшего оперативника Александра Фадеева — к двум с половиной годам в колонии-поселении.Расследование дел в отношении сотрудников «Дальнего» началось после того, как 11 марта 2012 года в одной из казанских больниц скончался Сергей Назаров, побывавший в этом отделе. По данным родственников, перед смертью он рассказал, что полицейские истязали задержаных в помещении отдела. Всего же потерпевшими признаны 14 человек.После громкого скандала, связанного с гибелью задержанного Назарова, отдел полиции «Дальний» расформировали и переименовали, а всех сотрудников вывели за штат."
20130405phone,Луганских школьников пытали из-за пропавшего мобильника,"В Луганской области двое мужчин похитили школьников и пытали их, добиваясь признания в краже мобильного телефона. Об этом сообщает ТСН.По данным местного сайта Lugansk Медia Стиль, инцидент произошел в воскресенье, 31 марта, в поселке Центральный. Преступники затащили двух подростков (учащихся 8 и 9 классов) в машину и отвезли в какое-то помещение.Там похитители стали избивать школьников, угрожали им тюремным заключением и смертью. «Били по почкам, в живот били. Биту вынес [один из похитителей], потом автомат вынес. Говорил, я тебя в милицию сдам, там сделают вас “петухами” на зоне», — рассказал один из пострадавших.Информацию об издевательствах, которым подвергли школьников, подтвердили в милиции. «Они нанесли телесные повреждения, надевали на голову полиэтиленовые пакеты. Не дождавшись никаких признаний, привезли в поселок на окраину и высадили», — сообщила сотрудница Перевальского райотдела милиции Ирина Ерелавец.По сведениям ТСН, телефон, о котором идет речь, принадлежал главе сельсовета, он пропал из административного здания после того, как там прошло заседание школьного кружка. Поиски воров, как утверждается, организовал брат обворованной женщины (это подтверждается в милицейской сводке), воспользовавшись при этом помощью своего знакомого.Похитители задержаны. Начато уголовное производство.В школе, где учатся пострадавшие подростки, сообщили, что они «находятся на учете», но преступных деяний за ними замечено не было. В поселковой администрации, в свою очередь, утверждают, что дети «неоднократно были замечены в кражах»."
20131008cocaconctrol,Главу боливийского агентства арестовали за продажу конфискованной коки,"В Боливии арестовали главу управления по контролю за производством листьев коки Луиса Кутипу (Luis Cutipa), которого подозревают в нелегальной продаже конфискованных наркотических средств. Об этом 8 октября пишет BBC News.Прокуратура готовится предъявить ему обвинения в том, что он передал своим двум сестрам от 35 до 45 тонн конфинскованных листьев коки, пишет Los Tiempos. Родственницы затем перепродали их боливийским наркобаронам.Кроме того, Кутипа обвиняется в том, что он незаконно повысил пошлины на получение лицензий на продажу коки. Также расследуется дело о подделке им документов, которые были необходимы ему для устройства на работу.Сам Кутипа все подозрения в свой адрес отрицает. Он утверждает, что все полученные им деньги поступали на легальные счета. По его словам, на повышение пошлин он пошел после того, как финансирование его агентства резко сократилось. Это было связано с тем, что в Боливии была запрещена деятельность американского агентства по международному развитию (USAID). Из-за этого он был вынужден поднять пошлину за выдачу лицензии с 87 долларов до 170 долларов.В Боливии можно законно выращивать листья коки. Несмотря на это, в стране также развивается нелегальный наркобизнес, к которому нередко оказываются причастны чиновники. Так, в 2011 году в Майами к 14 годам тюрьмы был приговорен бывший руководитель антинаркотического подразделения полиции Боливии Рене Санабрию (Rene Sanabria). Он был признан виновным в наркоторговле."
20141204british_suspected_rapist,В Австрии британского солдата заподозрили в изнасиловании шестилетней девочки,"Австрийская полиция задержала британского солдата по подозрению в изнасиловании шестилетней девочки в федеральной земле Тироль, сообщает Heute.Как передает Reuters, его задержали 29 ноября около дома предполагаемой жертвы. Подозреваемый помещен в следственный изолятор, где он пробудет, по меньшей мере, две недели. Солдату может грозить до 15 лет тюрьмы.Прокуратура уже поставила об этом в известность британское консульство.Пресс-секретарь британской армии отказался комментировать произошедшее, сославшись на то, что это дело находится в компетенции австрийских властей.Седьмой парашютный полк Королевской конной артиллерии, в котором служит подозреваемый, находился на военных учениях в Альпах.По информации австрийского издания, солдат проник в дом через окно и зашел в детскую. Отец девочки проснулся и, обнаружив в ее комнате нарушителя, задержал его и вызвал полицию."
20130205shamhalov,Феликс Шамхалов задержан по подозрению в мошенничестве,"Глава Высшей аттестационной комиссии Минобрнауки Феликс Шамхалов задержан на 48 часов в рамках расследования уголовного дела о мошенничестве, сообщает РИА Новости со ссылкой на представителя ГУ МВД России по Москве. По данным МВД, Шамхалов проходит по этому делу подозреваемым.Как сообщает ИТАР-ТАСС со ссылкой на официального представителя Шамхалова, 5 февраля он был допрошен по вышеупомянутому делу, но в качестве свидетеля, а не в качестве подозреваемого. «Он (Шамхалов) по собственному желанию содействует следствию и сам хотел бы разобраться во всем, что происходит», — заявила собеседница агентства.Как ранее сообщало МВД России, в рамках расследования уголовного дела в загородном доме Шамхалова и в его рабочем кабинете были проведены обыски, в ходе которых были изъяты некие имеющие значение для дела предметы и документы.Уголовное дело о хищении 350 миллионов рублей было возбуждено по части 4 статьи 159 УК РФ (мошенничество в особо крупном размере). По данным МВД, деньги были похищены у «Внешэкономбанка». Помимо Шамхалова, подозреваемым по этому делу проходит гендиректор ООО «Заречье 2» Антон Соловаров.По данным СМИ, Шамхалов владеет долей в компании «Заречье-Сетунь», которой принадлежит 85 процентов акций компании «Заречье 2». Именно к «Заречью 2» у «Внешэкономбанка» возникли претензии в связи с невыплатами по кредиту — как писал в ноябре 2012 года «Коммерсантъ», ВЭБ подал к компании иск с требованием о взыскании задолженности в сумме 178,4 миллиона долларов.В Минобрнауки ранее заявили, что допрос Шамхалова и связанные с расследованием уголовного дела обыски никак не связаны с его деятельностью на посту главы ВАК."
20140207lynch,В ЦАР линчевали выпавшего из грузовика мусульманина,"Толпа христиан, проживающих в столице Центральноафриканской республики городе Банги 7 февраля растерзала земляка-мусульманина, сообщает Agence France-Presse.Мужчина выпал из переполненного кузова грузовика, когда пытался вместе со своими единоверцами покинуть город, охваченный погромами на религиозной почве. Инцидент произошел, когда колонна из десятков автобусов, грузовых и легковых машин, набитых беженцами, направлялась на север от столицы под оскорбления и крики рассерженных христиан, собравшихся на обочинах дороги.Выпавшего из грузовика мужчину зарубили при помощи мачете. Части тела убитого преступники бросили на дороге, где они так и остались лежать.Христиане города Банги создали собственные отряды самообороны «Анти-балака» в ответ на многочисленные грабежи, убийства и изнасилования, совершаемые мусульманскими отрядами, захватившими власть в ЦАР в 2013 году.Жертвами как мусульманских, так и христианских погромщиков преимущественно становятся простые жители города. Продолжающееся уже несколько месяцев насилие привело к массовому исходу из города мусульман, составляющих в нем меньшинство.В связи с продолжающимся беззаконием в ЦАР были введены войска ряда европейских и африканских стран. Они, однако, пока не могут остановить межрелигиозное насилие."
20130807matveevo,Полицейским с Матвеевского рынка предъявили обвинение,"Следственный комитет РФ предъявил обвинения полицейским Владимиру Черезову и Юрию Лунькову, которые не помешали дагестанцам избивать сотрудника МВД на Матвеевском рынке. Об этом 7 августа сообщается на сайте СК.Обвинение предъявлено по 293-й статье УК РФ (халатность). Следствие собирается ходатайствовать об аресте Лунькова и Черезова (6 августа они были задержаны).Следователи связывают поведение полицейских с тем фактом, что рыночным торговцам предположительно оказывал покровительство заместитель начальника полиции ОМВД по району Очаково-Матвеевское Сергей Соловьев (ныне уволенный). В СК считают, что именно поэтому Луньков и Черезов не стали защищать своего коллегу.Материалы по теме15:56 30 июля 2013«Думал, что это хулиганы»В Москве двое суток ловили напавшего на полицейского дагестанцаВ отношении Соловьева в настоящее время также возбуждено уголовное дело, его подозревают в получении взяток от торговцев. Экс-полицейский помещен под арест.Конфликт на Матвеевском рынке произошел 27 июля. Черезов, Луньков и их коллега Антон Кудряшов приехали задерживать дагестанца, подозреваемого в изнасиловании. Однако за мужчину вступились земляки. Родственник подозреваемого Магомед Расулов нанес Кудряшову черепно-мозговую травму. После этого он скрылся, задержали его лишь 29 июля. С ним задержана его жена Хатимат Расулова, которая также била полицейских. Предполагаемый насильник тоже задержан.После инцидента в Москве начались масштабные чистки на рынках и в промзонах. Для задержанных нелегальных мигрантов (в основном из Вьетнама) создан специальный лагерь в районе Гольяново. Сейчас там содержится почти 600 человек. Уволены многие полицейские, подозреваемые в халатном отношении к контролю миграции."
20130303pakistan,Теракт в Карачи привел к гибели 45 человек,"В районе пакистанского города Карачи, населенного преимущественно шиитами, произошел взрыв, в результате которого погибли 45 человек и были ранены еще 150. Об этом сообщает Agence France-Presse.Как отмечает агентство, бомба была заложена в автомобиле, и ее привел в действие террорист-смертник. Власти Карачи сообщили, что опасаются значительного увеличения числа жертв, так как около половины раненых находятся в тяжелом состоянии.AFP отмечает, что в последнее время атаки радикальных суннитских группировок против шиитов, составляющих около 20 процентов населения Пакистана, значительно участились и что, вероятно, это может быть связано с приближением всеобщих выборов, которые состоятся в середине мая.Так, 16 февраля в результате теракта в шиитском районе города Кветта на юго-западе страны погибли 200 человек. Помимо этого, с начала февраля суннитские радикальные группировки произвели еще несколько атак на шиитов в разных частях страны, которые приводили к человеческим жертвам.По оценкам правозащитников, за весь 2012 год в результате межрелигиозных столкновений были убиты около 400 шиитов."
20160806is,Отправившую детей в Сирию бельгийку-вербовщицу ИГ отпустили из-за бюрократии,"Обвинительная палата Брюсселя отпустила одну из основных вербовщиц террористической группировки «Исламское государство» (ИГ, запрещена в России) в Бельгии. Об этом сообщает издание Derniere heure.Бельгийку марокканского происхождения Фатиму Аберкан освободили из-за судебной бюрократии: поданную пять месяцев назад кассационную жалобу ее адвоката не смогли рассмотреть в установленные сроки. В связи с этим защитник попросил обвинительную палату Брюсселя вынести решение об освобождении вербовщицы.Материалы по теме00:10 27 июля 2016Единое пространство недоверияПочему европейские спецслужбы не могут вместе бороться с терроризмомАберкан отпустили, при этом ограничив ей свободу передвижения. Так, она обязана сдать марокканский и бельгийский паспорта, находиться под подпиской о невыезде и не может покидать Бельгию. Женщина не должна появляться в брюссельской коммуне Моленбек и пребывать на улице с 22:00 до 06:00. Ей также запрещено посещать интернет-сайты, побуждающие к террористической деятельности, и предписано посещать специальный центр дерадикализации.В апреле вербовщицу приговорили к 15 годам тюремного заключения за участие в деятельности террористической группы.55-летняя Аберкан считается одной из самых активных вербовщиц ИГ на территории Бельгии. Террористической деятельностью с 2000-х годов занимается ее ближайшее окружение, друзья и брат. Широкую известность женщина получила, когда стало известно, что она отправила четырех своих детей воевать на стороне экстремистов в Сирии."
20151204court,Россиянина осудили в США за участие в войне на стороне талибов,"Суд американского штата Виргиния приговорил 55-летнего гражданина России Ирека Хамидуллина, воевавшего в Афганистане на стороне движения «Талибан», к пожизненному заключению и дополнительно к 30 годам тюрьмы. Об этом сообщается в четверг, 3 ноября, на сайте Министерства юстиции США.В августе суд признал Хамидуллина виновным по 15 пунктам обвинения, в том числе в покушении на убийство американских военнослужащих, поддержке террористической группировки и сговоре с целью использования оружия массового поражения.Материалы по теме08:31 16 декабря 2014«Афганцев не надо учить воевать на их территории»Эксперт рассказал, что ждет Афганистан после вывода американских войскХамидуллин, бывший офицер Советской армии, взят в плен коалиционными силами в Афганистане в 2009 году во время боестолкновения с исламистами. До переправки в США содержался на американской военной базе в Баграме.Утверждалось, что Хамидуллин состоял в экстремистской организации «Ат-Такфир валь-Хиджра». В Афганистане он находился с 1999 года."
